PurchaseOrderId,product_name,purchase_count,purchase_dummy
15872,Bonnet,1,1
15872,Hinges (Bonnet) Right,1,1
15896,Front Wheel Arch Cladding Left,1,1
15896,Front Wheel Arch Cladding Right,1,1
15896,Rear Wheel Arch Cladding Left,1,1
15905,Mirror Assy Left,1,1
15905,Fender indicator assy LH,1,1
15905,Door Handle (ExternaL) Front Left,1,1
15871,Auto Tensioner Assy,1,1
15860,Bumper - Front,1,1
15860,Bumper Grill,1,1
15860,Towing cap,1,1
15867,Bumper - Front,1,1
15875,Hose,1,1
15875,Fuel (Pipe To Engine),1,1
15861,Oil Filter,1,1
15862,Lower Arm Lefts,1,1
15862,Lower Arm Rights,1,1
15862,Spark Plug Set Of 4,1,1
15862,Air Filter,1,1
15862,AC Filter,1,1
15888,Tail Lamp Right,1,1
15866,Bumper - Front,1,1
15866,Front Bumper Bracket Left,1,1
15866,Front Bumper Bracket Right,1,1
15870,Clutch Kit (Disc+Pressure Plate),1,1
15870,Clutch Slave Cylinder,1,1
15873,Link Rod,1,1
15873,Front Suspension Strut Mount,1,1
15873,Front Suspension Strut Left,1,1
15873,Front Suspension Strut Right,1,1
15886,Sensor,1,1
15878,Hose Pipe,1,1
15878,Thermostat Housing,1,1
15876,Clutch Kit (Disc+Pressure Plate),1,1
15876,Clutch Slave Cylinder,1,1
15876,Diesel Filter,1,1
15876,Shock Absorber Plate,1,1
15876,Releaser Bearing,1,1
15877,Clutch Kit (Disc+Pressure Plate),1,1
15877,Clutch Slave Cylinder,1,1
15877,Diesel Filter,1,1
15877,Shock Absorber Plate,1,1
15877,Releaser Bearing,1,1
15900,Door - R/H Front,1,1
15900,Door - R/H Rear,1,1
15900,Quarter Panel - R/H Rear,1,1
15901,Tie Rod End,1,1
15901,Lower Arm,1,1
15901,Front Brake pad,1,1
15901,AC Filter,1,1
15901,Rear Wiper Blade,1,1
15880,Oil Seal,1,1
15880,Gear Lever Knob,1,1
15880,Front Brake pad,1,1
15881,Front Brake Disc,1,1
15882,Front Brake Disc,1,1
15883,Clutch Kit (Disc+Pressure Plate+Bearing),1,1
15895,Lower Arm Set,1,1
15895,Front Brake pad,1,1
15895,Front Brake Disc,1,1
15895,Clutch Kit (Disc+Pressure Plate+Bearing),1,1
15895,Oil Filter,1,1
16001,Mirror Assy Right,1,1
15890,Mirror Lens,1,1
15890,Mirror Cap,1,1
15891,Bumper - Front,1,1
15893,Air Filter,1,1
15893,Oil Filter,1,1
15893,Spark Plug 16Mm,1,1
15893,Brake Master Cylinder,1,1
15893,Shock Absorber (Rear),1,1
15893,Engine Bedding,1,1
15893,Engine Bedding - C,1,1
15918,Wheel Bearing,1,1
15889,Head Lamp - R/H,1,1
15889,Holder,1,1
15889,Front Bumper Right,1,1
15894,Rocker Arm,1,1
15894,Head Gasket,1,1
15894,Valve Door Gasket,1,1
15894,Oil Seal,1,1
15894,Hose Pipe,1,1
15894,Intercooler Hose,1,1
15910,Lower Arm Rights,1,1
15910,Lower Arm Lefts,1,1
15912,Shock Absorber Mount,1,1
15912,Balance Rod Bush,1,1
15912,Tie Rod End Left/Right,1,1
15912,Front Wheel Bearing,1,1
15912,Fender Liner - R/H Front,1,1
15912,Fender Liner - L/H Front,1,1
16042,Fender Liner - R/H Front,1,1
16042,Fender Liner - L/H Front,1,1
16042,Body Filler,1,1
15898,Mirror Assy Right,1,1
15908,Fuel Tank,1,1
15906,Door Handle (ExternaL) Front Right,1,1
15906,Rear Wiper Blade,1,1
15899,Power Window Switch,1,1
15902,Wind Shield - Front,1,1
15902,Wind Shield Beading,1,1
15904,Mirror Cap,1,1
15907,Bumper - Front,1,1
15922,Front Suspension Strut Mount,1,1
15943,Thermoshaft Valve,1,1
15909,Moulding,1,1
15903,Bulb (Headlight),1,1
15917,Caliper,1,1
15913,Front Brake pad,1,1
15913,Fender Liner - LH Rear,1,1
15913,Front Wheel Bearing,1,1
15913,Fog Lamp Rear Right,1,1
15913,V Belt,1,1
15914,Oil Filter,1,1
15914,Air Filter,1,1
15924,Seat Belt,1,1
15911,Air Filter,1,1
15967,Door - R/H Front,1,1
15967,Door - L/H Front,1,1
15916,Fender Liner - R/H Front,1,1
15915,Rear Shock Absorber,1,1
15919,Dicky Shocks,2,1
15919,Right,1,1
15919,Left,1,1
15929,Releaser Bearing,1,1
15929,Clutch Kit (Disc+Pressure Plate),1,1
15931,Bumper Lower Grill,1,1
15921,Mirror Assy Electrical with Indicator - LH,1,1
15926,Door Handle (ExternaL) Front Left,1,1
15926,Caliper Pin 18%,1,1
15926,Front Brake pad,1,1
15926,Rear Brake Shoe,1,1
15926,AC Filter,1,1
15926,Air Filter,1,1
15926,Tail Lamp Right,1,1
15926,Door Stopper,1,1
15926,Hose Pipe,1,1
15926,Holder,2,1
15926,Rear Bumper Side Left,1,1
15926,Rear Bumper Side Right,1,1
15920,Door Handle,1,1
15923,Bumper - Front,1,1
15933,Lower Arm Rights,1,1
15933,Front Stabilizer Link Right,1,1
15933,Head Lamp - R/H,1,1
15925,Steering Box,1,1
15925,Balance Rod Bush,1,1
15928,Cap,1,1
16253,AC Pipe,1,1
15930,Air Filter,1,1
15930,Front Brake pad,1,1
15930,Lower Arm Lefts,1,1
15930,Lower Arm Rights,1,1
15927,Clutch Kit (Disc+Pressure Plate),1,1
15927,Releaser Bearing,1,1
15927,Intercooler Hose,1,1
15932,Front Wheel Arch Cladding Left,1,1
15946,Shock Absorber (Front) - Left,1,1
16031,Gear Lever Knob,1,1
16031,Boot,1,1
15968,Bumper - Front,1,1
15968,Holder,2,1
15968,Front Bumper Right,1,1
15968,Front Bumper Left,1,1
15968,Weather Strip,1,1
16127,Spring,1,1
15942,Tail Lamp Left,1,1
15937,Ac Liquid Pipe,1,1
15941,Power Window Switch,1,1
15941,Clutch Cable,1,1
15954,Power Window Switch - LH,1,1
15940,Shock Absorber Strut,1,1
15940,Lower Arm,1,1
15940,Shock Absorber Mount,1,1
15939,Hose Pipe,1,1
15938,Radiator Assembly,1,1
15960,Front Bumper Bracket Right,1,1
15960,Lhs Fender Lining,1,1
15949,Fender Liner - L/H Front,1,1
15961,Clutch Cable,1,1
15961,Fuel Filter,1,1
15963,Diesel Filter,1,1
15980,Bumper - Front,1,1
15970,Garnish,1,1
15970,Trunk Lid,1,1
15945,Clutch Master Cylinder,1,1
15947,Door Latch,1,1
15944,Brake Oil,1,1
15944,Dot 4(250ML),1,1
15956,AC Compressor,1,1
15958,Coolant bottom hose,1,1
16028,Wiper Blade 13,1,1
16028,Wiper Blade 14,1,1
16028,Wiper Blade 12,1,1
16028,Wiper Blade 16,1,1
16028,Wiper Blade 17,1,1
16028,Wiper Blade 18,1,1
16028,Wiper Blade 19,1,1
16028,Wiper Blade 20,1,1
16028,Wiper Blade 21,1,1
16028,Wiper Blade 22,1,1
16028,Wiper Blade 24,1,1
15948,Engine Oil - 5W30,1,1
15948,Front Brake pad,1,1
15948,Oil Filter,1,1
15948,Air Filter,1,1
15962,AC Filter,1,1
16030,Coolant Red,1,1
16030,Coolant Blue,1,1
16030,Coolant Green,1,1
16029,Brake Oil,1,1
16029,Dot 4(500ml),1,1
16195,Engine Oil - Taxi Special - 5W30 (209L),1,1
15952,Thermostat Housing,1,1
15951,Oil Cap,1,1
15950,Brake Disc,1,1
15953,Clutch Kit (Disc+Pressure Plate),1,1
15993,Bumper - Front,1,1
15993,Bumper - Rear,1,1
15993,Bonnet Patti,1,1
15959,Fender Liner Clip,1,1
15959,Lhs Fender Lining,1,1
15964,Bumper - Front,1,1
15964,Front Wheel Arch Cladding Left,1,1
16238,Front Bumper Bracket Left,1,1
16238,Front Bumper Bracket Right,1,1
16238,Front Windshield,1,1
16238,Front Bumper Upper Grill,1,1
16238,Fender Liner - L/H Front,1,1
15957,Coolant Tank,1,1
15955,Crankshaft Pulley,1,1
15955,Plug,1,1
15955,Egr Gasket,1,1
15991,Bumper - Front,1,1
16002,Fender Liner - R/H Front,1,1
16002,Fender - R/H Front,1,1
16002,Fender Liner Clip,1,1
15981,Link Rod,1,1
15981,Ball Joint,1,1
15981,Front Brake pad,1,1
15981,Rear Brake Shoe Set,1,1
15981,Rear Shock Absorber,1,1
15981,Front Suspension Strut Assy - LH/RH,1,1
15981,Tie Rod End Set,1,1
15981,Shock Absorber Mount,1,1
15981,Front Strut Bush Kit,1,1
15974,Bonnet Assy Stay Rod,1,1
15965,Fender - L/H Front,1,1
15965,Front Fender Lining - RH,1,1
15965,Front Fender Lining - LH,1,1
15965,Bumper - Front,1,1
15965,Front Bumper Bracket Left,1,1
15965,Front Bumper Bracket Right,1,1
15965,Mud Flap Set,1,1
15965,Gear Lever Boot,1,1
15965,Rear Bumper Bracket - RH,1,1
15965,Rear Bumper Bracket - LH,1,1
15973,Front Wheel Bearing,1,1
15973,Tensioner Bearing,1,1
15987,Timing Kit Packing,1,1
16011,Rear Door Rear Inner Garnish - RH,1,1
15986,Latch Assy - Front Door,1,1
15986,Right,1,1
15971,Steering Box,1,1
15971,Balance Rod Bush,1,1
15971,Top Strut Mounting,1,1
15969,Hose Pipe,1,1
15976,Oil Sump Packing,1,1
15976,Oil Seal Crank Shaft,1,1
15976,Chain Timing,1,1
15976,Timing Chain Guide,1,1
15976,Timing Chain Tensioner Lever,1,1
15972,Rear Tail Lamp - LH,1,1
15975,Oil Filter,1,1
15975,Air Filter,1,1
15978,AC Cooling Module Assy,1,1
15977,Coolant Elbow,1,1
15982,Tensioner Bearing,1,1
15982,Auto Tensioner Assy,1,1
15979,Power Window Switch,1,1
15983,Lower Arm,1,1
15984,Clutch Kit (Disc+Pressure Plate),1,1
15984,Clutch Release Bearing,1,1
15984,Clutch Cable,1,1
15984,Air Filter,1,1
15996,Clutch Release Bearing,1,1
16035,Clutch Set (Disc+Pressure Plate+Bearing),1,1
15985,Brake Master Cylinder,1,1
15998,AC Cooling Module Assy,1,1
16003,Petrol Pipe,1,1
15997,Front Bumper,1,1
15997,Front Fender - LH,1,1
15997,Head Lamp - LH,1,1
15997,Front Bumper Lower,1,1
15997,Front Wheel Arch Cladding - LH,1,1
15997,Front Fender Lining - LH,1,1
15997,Front Bumper Bracket - RH,1,1
15997,Front Bumper Bracket - LH,1,1
15995,Ac Control Unit,1,1
16015,Radiator,1,1
16015,AC Condenser,1,1
16015,Intercooler,1,1
16015,Radiator Frame,1,1
16015,Radiator Fan Assy,1,1
16004,Front Door - LH,1,1
15989,Rear Propellor Shaft,1,1
15994,Front Mud Flap Set,1,1
15988,Oil Filter,1,1
15990,Oil Filter,1,1
15992,Lower Ball Joint,1,1
15992,Lower Control Arm Bush,1,1
16016,Head Lamp - RH,1,1
16007,Front Bumper,1,1
16007,Front Bumper Bracket - LH,1,1
16007,Front Bumper Bracket - RH,1,1
16007,Fog Lamp Cover - LH,1,1
16018,Head Lamp - RH,1,1
16005,Front Fender Lining - RH,1,1
16005,Front Fender Lining - LH,1,1
16000,Mirror Assy - RH,1,1
15999,Lower Arm,1,1
15999,Tie Rod End,1,1
15999,Rear Shock Absorber - LH/RH,1,1
15999,Front Strut Bush Kit,1,1
15999,Front Suspension Strut Mount,1,1
15999,Front Stabilizer Link - LH/RH,1,1
15999,Front Suspension Strut Assy - LH/RH,1,1
15999,Ball Joint,1,1
16145,Rear Fender Lining - LH,1,1
16021,Front Bumper,1,1
16021,Holder,2,1
16021,Front Bumper - RH,1,1
