PurchaseOrderId,product,purchase_count
15876,Honda_Amaze_Clutch Kit (Disc+Pressure Plate),1
15876,Honda_Amaze_Clutch Slave Cylinder,1
15876,Honda_Amaze_Diesel Filter,1
15876,Honda_Amaze_Shock Absorber Plate,1
15876,Honda_Amaze_Releaser Bearing,1
15877,Honda_Amaze_Clutch Kit (Disc+Pressure Plate),1
15877,Honda_Amaze_Clutch Slave Cylinder,1
15877,Honda_Amaze_Diesel Filter,1
15877,Honda_Amaze_Shock Absorber Plate,1
15877,Honda_Amaze_Releaser Bearing,1
15900,Maruti Suzuki_Alto_Door - R/H Front,1
15900,Maruti Suzuki_Alto_Door - R/H Rear,1
15900,Maruti Suzuki_Alto_Quarter Panel - R/H Rear,1
15901,Maruti Suzuki_Ignis_Tie Rod End,1
15901,Maruti Suzuki_Ignis_Lower Arm,1
15901,Maruti Suzuki_Ignis_Front Brake pad,1
15901,Maruti Suzuki_Ignis_AC Filter,1
15901,Maruti Suzuki_Ignis_Rear Wiper Blade,1
15880,Maruti Suzuki_Wagon R_Oil Seal,1
15880,Maruti Suzuki_Wagon R_Gear Lever Knob,1
15880,Maruti Suzuki_Wagon R_Front Brake pad,1
15895,Nissan_Terrano_Lower Arm Set,1
15895,Nissan_Terrano_Front Brake pad,1
15895,Nissan_Terrano_Front Brake Disc,1
15895,Nissan_Terrano_Clutch Kit (Disc+Pressure Plate+Bearing),1
15895,Nissan_Terrano_Oil Filter,1
15893,Maruti Suzuki_800_Air Filter,1
15893,Maruti Suzuki_800_Oil Filter,1
15893,Maruti Suzuki_800_Spark Plug 16Mm,1
15893,Maruti Suzuki_800_Brake Master Cylinder,1
15893,Maruti Suzuki_800_Shock Absorber (Rear),1
15893,Maruti Suzuki_800_Engine Bedding,1
15893,Maruti Suzuki_800_Engine Bedding - C,1
15894,Maruti Suzuki_Swift_Rocker Arm,1
15894,Maruti Suzuki_Swift_Head Gasket,1
15894,Maruti Suzuki_Swift_Valve Door Gasket,1
15894,Maruti Suzuki_Swift_Oil Seal,1
15894,Maruti Suzuki_Swift_Hose Pipe,1
15894,Maruti Suzuki_Swift_Intercooler Hose,1
15912,Honda_Civic_Shock Absorber Mount,1
15912,Honda_Civic_Balance Rod Bush,1
15912,Honda_Civic_Tie Rod End Left/Right,1
15912,Honda_Civic_Front Wheel Bearing,1
15912,Honda_Civic_Fender Liner - R/H Front,1
15912,Honda_Civic_Fender Liner - L/H Front,1
16042,Renault_Triber_Fender Liner - R/H Front,1
16042,Renault_Triber_Fender Liner - L/H Front,1
16042,Renault_Triber_Body Filler,1
15913,Ford_EcoSport_Front Brake pad,1
15913,Ford_EcoSport_Fender Liner - LH Rear,1
15913,Ford_EcoSport_Front Wheel Bearing,1
15913,Ford_EcoSport_Fog Lamp Rear Right,1
15913,Ford_EcoSport_V Belt,1
15926,Maruti Suzuki_Swift Dzire New_Door Handle (ExternaL) Front Left,1
15926,Maruti Suzuki_Swift Dzire New_Caliper Pin 18%,1
15926,Maruti Suzuki_Swift Dzire New_Front Brake pad,1
15926,Maruti Suzuki_Swift Dzire New_Rear Brake Shoe,1
15926,Maruti Suzuki_Swift Dzire New_AC Filter,1
15926,Maruti Suzuki_Swift Dzire New_Air Filter,1
15926,Maruti Suzuki_Swift Dzire New_Tail Lamp Right,1
15926,Maruti Suzuki_Swift Dzire New_Door Stopper,1
15926,Maruti Suzuki_Swift Dzire New_Hose Pipe,1
15926,"Maruti Suzuki_Swift Dzire New_Holder, Rear Bumper Side Left",1
15926,"Maruti Suzuki_Swift Dzire New_Holder, Rear Bumper Side Right",1
15933,Maruti Suzuki_Celerio_Lower Arm Rights,1
15933,Maruti Suzuki_Celerio_Front Stabilizer Link Right,1
15933,Maruti Suzuki_Celerio_Head Lamp - R/H,1
15930,Hyundai_i10_Air Filter,1
15930,Hyundai_i10_Front Brake pad,1
15930,Hyundai_i10_Lower Arm Lefts,1
15930,Hyundai_i10_Lower Arm Rights,1
15927,Maruti Suzuki_Swift_Clutch Kit (Disc+Pressure Plate),1
15927,Maruti Suzuki_Swift_Releaser Bearing,1
15927,Maruti Suzuki_Swift_Intercooler Hose,1
15968,Hyundai_Getz_Bumper - Front,1
15968,"Hyundai_Getz_Holder, Front Bumper Right",1
15968,"Hyundai_Getz_Holder, Front Bumper Left",1
15968,Hyundai_Getz_Weather Strip,1
15940,Hyundai_Verna_Shock Absorber Strut,1
15940,Hyundai_Verna_Lower Arm,1
15940,Hyundai_Verna_Shock Absorber Mount,1
15948,Honda_City_Engine Oil - 5W30,1
15948,Honda_City_Front Brake pad,1
15948,Honda_City_Oil Filter,1
15948,Honda_City_Air Filter,1
15993,Maruti Suzuki_Wagon R_Bumper - Front,1
15993,Maruti Suzuki_Wagon R_Bumper - Rear,1
15993,Maruti Suzuki_Wagon R_Bonnet Patti,1
16238,Honda_City New_Front Bumper Bracket Left,1
16238,Honda_City New_Front Bumper Bracket Right,1
16238,Honda_City New_Front Windshield,1
16238,Honda_City New_Front Bumper Upper Grill,1
16238,Honda_City New_Fender Liner - L/H Front,1
15955,Maruti Suzuki_Swift_Crankshaft Pulley,1
15955,Maruti Suzuki_Swift_Plug,1
15955,Maruti Suzuki_Swift_Egr Gasket,1
16002,Honda_Amaze_Fender Liner - R/H Front,1
16002,Honda_Amaze_Fender - R/H Front,1
16002,Honda_Amaze_Fender Liner Clip,1
15981,Toyota_Fortuner_Link Rod,1
15981,Toyota_Fortuner_Ball Joint,1
15981,Toyota_Fortuner_Front Brake pad,1
15981,Toyota_Fortuner_Rear Brake Shoe Set,1
15981,Toyota_Fortuner_Rear Shock Absorber,1
15981,Toyota_Fortuner_Front Suspension Strut Assy - LH/RH,1
15981,Toyota_Fortuner_Tie Rod End Set,1
15981,Toyota_Fortuner_Shock Absorber Mount,1
15981,Toyota_Fortuner_Front Strut Bush Kit,1
15965,Maruti Suzuki_Swift Dzire_Fender - L/H Front,1
15965,Maruti Suzuki_Swift Dzire_Front Fender Lining - RH,1
15965,Maruti Suzuki_Swift Dzire_Front Fender Lining - LH,1
15965,Maruti Suzuki_Swift Dzire_Bumper - Front,1
15965,Maruti Suzuki_Swift Dzire_Front Bumper Bracket Left,1
15965,Maruti Suzuki_Swift Dzire_Front Bumper Bracket Right,1
15965,Maruti Suzuki_Swift Dzire_Mud Flap Set,1
15965,Maruti Suzuki_Swift Dzire_Gear Lever Boot,1
15965,Maruti Suzuki_Swift Dzire_Rear Bumper Bracket - RH,1
15965,Maruti Suzuki_Swift Dzire_Rear Bumper Bracket - LH,1
15971,Hyundai_i10_Steering Box,1
15971,Hyundai_i10_Balance Rod Bush,1
15971,Hyundai_i10_Top Strut Mounting,1
15976,Maruti Suzuki_Swift_Oil Sump Packing,1
15976,Maruti Suzuki_Swift_Oil Seal Crank Shaft,1
15976,Maruti Suzuki_Swift_Chain Timing,1
15976,Maruti Suzuki_Swift_Timing Chain Guide,1
15976,Maruti Suzuki_Swift_Timing Chain Tensioner Lever,1
15984,Maruti Suzuki_Alto_Clutch Kit (Disc+Pressure Plate),1
15984,Maruti Suzuki_Alto_Clutch Release Bearing,1
15984,Maruti Suzuki_Alto_Clutch Cable,1
15984,Maruti Suzuki_Alto_Air Filter,1
15997,Tata_Nexon_Front Bumper,1
15997,Tata_Nexon_Front Fender - LH,1
15997,Tata_Nexon_Head Lamp - LH,1
15997,Tata_Nexon_Front Bumper Lower,1
15997,Tata_Nexon_Front Wheel Arch Cladding - LH,1
15997,Tata_Nexon_Front Fender Lining - LH,1
15997,Tata_Nexon_Front Bumper Bracket - RH,1
15997,Tata_Nexon_Front Bumper Bracket - LH,1
16015,Volkswagen_Vento_Radiator,1
16015,Volkswagen_Vento_AC Condenser,1
16015,Volkswagen_Vento_Intercooler,1
16015,Volkswagen_Vento_Radiator Frame,1
16015,Volkswagen_Vento_Radiator Fan Assy,1
16007,Renault_Kwid_Front Bumper,1
16007,Renault_Kwid_Front Bumper Bracket - LH,1
16007,Renault_Kwid_Front Bumper Bracket - RH,1
16007,Renault_Kwid_Fog Lamp Cover - LH,1
15999,Volkswagen_Vento_Lower Arm,1
15999,Volkswagen_Vento_Tie Rod End,1
15999,Volkswagen_Vento_Rear Shock Absorber - LH/RH,1
15999,Volkswagen_Vento_Front Strut Bush Kit,1
15999,Volkswagen_Vento_Front Suspension Strut Mount,1
15999,Volkswagen_Vento_Front Stabilizer Link - LH/RH,1
15999,Volkswagen_Vento_Front Suspension Strut Assy - LH/RH,1
15999,Volkswagen_Vento_Ball Joint,1
16021,Hyundai_i20_Front Bumper,1
16021,"Hyundai_i20_Holder, Front Bumper - RH",1
16021,"Hyundai_i20_Holder, Front Bumper - LH",1
16021,Hyundai_i20_Radiator Support Bracket Upper,1
16021,Hyundai_i20_Head Lamp - RH,1
16021,Hyundai_i20_Head Lamp - LH,1
16021,Hyundai_i20_Windshield Beeding,1
16021,Hyundai_i20_Outer Door Handle - RH,1
16021,Hyundai_i20_Power Window Switch,1
16021,Hyundai_i20_Fender Liner Clip,1
16067,Maruti Suzuki_S-Cross_Front Bumper,1
16067,Maruti Suzuki_S-Cross_Front Bumper Lower,1
16067,"Maruti Suzuki_S-Cross_Garnish, Front Bumper Lower - LH",1
16067,Maruti Suzuki_S-Cross_Bumper Grill,1
16067,Maruti Suzuki_S-Cross_Intercooler,1
16067,Maruti Suzuki_S-Cross_Radiator,1
16067,Maruti Suzuki_S-Cross_AC Condenser,1
16067,Maruti Suzuki_S-Cross_Cross Member,1
16012,Volkswagen_Polo_Front Suspension Strut - RH,1
16012,Volkswagen_Polo_Front Suspension Strut - LH,1
16012,Volkswagen_Polo_Winding Machine,1
16008,Maruti Suzuki_Ertiga_AC Filter,1
16008,Maruti Suzuki_Ertiga_Front Brake pad,1
16008,Maruti Suzuki_Ertiga_Oil Filter,1
16224,Datsun_Go _Front Bumper,1
16224,Datsun_Go _Head Lamp - LH,1
16224,Datsun_Go _Front Bumper Bracket,1
16014,Maruti Suzuki_Swift_Front Suspension Strut - LH,1
16014,Maruti Suzuki_Swift_Front Suspension Strut - RH,1
16014,Maruti Suzuki_Swift_Tie Rod End - LH/RH,1
16019,Maruti Suzuki_Swift_Rear Bumper,1
16019,Maruti Suzuki_Swift_Rear Bumper Bracket - RH,1
16019,Maruti Suzuki_Swift_Rear Bumper Bracket - LH,1
16024,Mahindra_XUV500_Oil Filter,1
16024,Mahindra_XUV500_Air Filter,1
16024,Mahindra_XUV500_Front Brake pad,1
16024,Mahindra_XUV500_Rear Brake Pad,1
16032,Maruti Suzuki_Ertiga_Lower Arm,1
16032,Maruti Suzuki_Ertiga_Shock Absorber Strut,1
16032,Maruti Suzuki_Ertiga_Rear Shock Absorber,1
16032,Maruti Suzuki_Ertiga_Brake Shoe,1
16032,Maruti Suzuki_Ertiga_Rear Wiper Blade,1
16032,Maruti Suzuki_Ertiga_Rear Outer Door Handle,1
16032,Maruti Suzuki_Ertiga_Gear Leaver,1
16032,Maruti Suzuki_Ertiga_Belt,1
16032,Maruti Suzuki_Ertiga_Caliper Pin 1,1
16032,Maruti Suzuki_Ertiga_Oil Filter,1
16032,Maruti Suzuki_Ertiga_Air Filter,1
16032,Maruti Suzuki_Ertiga_Timing Kit Packing,1
16043,Hyundai_i10_Front Shock Absorber,1
16043,Hyundai_i10_Shock Absorber Mount,1
16043,Hyundai_i10_Rear Shock Absorber,1
16043,Hyundai_i10_Stablizer Bar Bushes,1
16043,Hyundai_i10_Steering Assy,1
16398,Mahindra_XUV500_Front Bumper Upper Grill,1
16398,Mahindra_XUV500_Front Wheel Arch Cladding - RH,1
16398,Mahindra_XUV500_Front Wheel Arch Cladding - LH,1
16037,Maruti Suzuki_Swift Dzire_Engine Oil - HX5 - 15W40 (3.5L),1
16037,Maruti Suzuki_Swift Dzire_Oil Filter,1
16037,Maruti Suzuki_Swift Dzire_Air Filter,1
16037,Maruti Suzuki_Swift Dzire_AC Filter,1
16037,Maruti Suzuki_Swift Dzire_Fuel Filter,1
16037,Maruti Suzuki_Swift Dzire_Drain Nut,1
16037,Maruti Suzuki_Swift Dzire_Oil Filter Cap,1
16039,"Chevrolet_Spark_Wheel Brake Cylinder, Rear - RH",1
16039,"Chevrolet_Spark_Wheel Brake Cylinder, Rear - LH",1
16039,Chevrolet_Spark_Oil Filter,1
16039,Chevrolet_Spark_Rear Wheel Bearing,1
16044,Maruti Suzuki_Swift_Water Pump,1
16044,Maruti Suzuki_Swift_Clutch Kit (Disc+Pressure Plate),1
16044,Maruti Suzuki_Swift_Clutch Release Bearing,1
16044,Maruti Suzuki_Swift_Lower Arm - LH,1
16057,Honda_Amaze_Clutch Kit (Disc+Pressure Plate),1
16057,Honda_Amaze_Clutch Release Bearing,1
16057,Honda_Amaze_Clutch Slave Cylinder,1
16053,Hyundai_i10_Clutch Release Bearing,1
16053,Hyundai_i10_Clutch Kit (Disc+Pressure Plate),1
16053,Hyundai_i10_Clutch Cable,1
16056,Maruti Suzuki_Celerio_Wiper Tank,1
16056,Maruti Suzuki_Celerio_Front Fender Lining - RH,1
16056,Maruti Suzuki_Celerio_Mirror Lens Right,1
16056,Maruti Suzuki_Celerio_Fender Indicator - RH,1
16060,Maruti Suzuki_Alto K10_Cap,1
16060,Maruti Suzuki_Alto K10_Mirror Assy - RH,1
16060,Maruti Suzuki_Alto K10_Fender Indicator - RH,1
16140,Hyundai_i20_Head Lamp - LH,1
16140,Hyundai_i20_Front Bumper,1
16140,Hyundai_i20_Front Bumper Bracket Left,1
16140,Hyundai_i20_Front Fender - LH,1
16140,Hyundai_i20_Fender Lining,1
16070,Maruti Suzuki_Swift Dzire_Rear Bumper,1
16070,Maruti Suzuki_Swift Dzire_Front Bumper,1
16070,Maruti Suzuki_Swift Dzire_Front Fender Lining - RH,1
16070,Maruti Suzuki_Swift Dzire_Front Fender Lining - LH,1
16070,Maruti Suzuki_Swift Dzire_Rear Fender Lining - RH,1
16070,Maruti Suzuki_Swift Dzire_Emblem(S),1
16070,Maruti Suzuki_Swift Dzire_Emblem (Vdi),1
